categoryId,categoryName,categoryType,accountingCode
1096,Accounting & Bookkeeping,OTHER,6505
1093,Advertising,OTHER,6260
1101,Bank Charges & Fees,OTHER,6560
1073,Bar Groceries,LIQUOR,5116
1089,Bar Smallwares,OTHER,6155
1069,Beer,BEER,5110
1860011,BOH Labor,LABOR,5209
1071,Bottled Beer,BEER,5112
1067,Bread,FOOD,5105
36853,CAM,OTHER,7106
1099,Charity & Donations,OTHER,6545
1082,Cleaning Services,OTHER,6120
1080,Cleaning Supplies,OTHER,6115
20000,Consumables,OTHER,6125
1068,Dairy,FOOD,5106
1083,Decorations,OTHER,6130
1891382,Design and Production,OTHER,6515
36505,Distributions,OTHER,3205
1070,Draught Beer,BEER,5111
1100,Dues and Subscriptions,OTHER,6550
3511674,Due to/from Hillhurst,OTHER,1710
1281077,Equipment Rental,OTHER,6110
1084,Florals,OTHER,6132
79810,FOH Admin,LABOR,5215
2748275,FOH - Bar Flores,LABOR,5201
2748273,FOH - Donna's,LABOR,5203
79812,FOH Janitorial,LABOR,5210
79811,FOH Labor,LABOR,5205
2748274,FOH - Lowboy,LABOR,5202
79814,FOH Management,LABOR,6100
2748272,FOH - To Go Window,LABOR,5204
1112,Fuel,OTHER,6725
1091,Glassware,OTHER,6165
1066,Grocery,FOOD,5104
19989,Keg Deposits,BEER,1805
15250069,Kitchen Machinery & Equipment,OTHER,1515
1088,Kitchen Smallwares,OTHER,6150
1085,"Laundry, Linens, & Uniforms",OTHER,6135
1097,Legal,OTHER,6520
1106,Liability Insurance,OTHER,6590
1102,License & Permits,OTHER,6570
1072,Liquor,LIQUOR,5115
1092,Marketing & Promotions,OTHER,6257
1110,Meals & Entertainment,OTHER,6710
1063,Meat & Poultry,FOOD,5101
1094,Music & DJ,OTHER,6305
1075,Non-alcoholic,NA_BEVERAGES,5125
1103,Office Supplies,OTHER,6575
17974,Operating Supplies,OTHER,6574
1077,"Packaging, COGS",OTHER,5135
1081,Packaging Supplies,OTHER,6118
1111,Parking,OTHER,6720
1115,Pest Control,OTHER,6820
1107,Phone and Internet,OTHER,6605
1105,Postage & Shipping,OTHER,6585
1065,Produce,FOOD,5103
1122,Propane,OTHER,7150
36854,Property/RE Tax,OTHER,7115
1116,Rent/Lease,OTHER,7105
1113,"Repair & Maintenance, Equipment",OTHER,6810
1114,"Repair & Maintenance, Facility",OTHER,6815
1095,Research & Development,OTHER,6450
1076,Retail,OTHER,5130
1064,Seafood,FOOD,5102
1108,Security,OTHER,6610
1078,"Shipping, Freight and Delivery",OTHER,5195
1087,Small Bar Equipment,OTHER,6145
1098,Small Computer Equipment & Supplies,OTHER,6535
1086,Small Kitchen Equipment,OTHER,6140
678311,Software Subscriptions,OTHER,6537
1104,"Stationary, Printing & Reproduction",OTHER,6580
1121,Storage,OTHER,7145
1090,Tableware,OTHER,6160
1079,Training,OTHER,5355
1109,Travel,OTHER,6705
1135,Utilities - Telephone / Internet,OTHER,6605
1117,"Utility, Electricity",OTHER,7125
1118,"Utility, Gas",OTHER,7130
1119,"Utility, Trash Removal",OTHER,7135
1120,"Utility, Water & Sewage",OTHER,7140
1074,Wine,WINE,5120
