vendorId,centralVendorId,vendorName,vendorAccounts
385942,292825809,24/7 Locksmith Services,[]
1868549,19423829,Advanced Restaurant Supply,[{'vendorAccountNumber': 'PAR538'}]
15619532,686958645,Aero Collective,[]
1747,3172538,ALSCO,"[{'vendorAccountNumber': '11059'}, {'vendorAccountNumber': '11059'}]"
1382842,3172584,Amazon.com,[]
824209,14291019,Amy Atwood Selections (Cleanskins Wine LLC),[]
1625,660401165,Asian Table Foods,[]
91523,675056716,Ballards Artwork Framing,[]
14480240,24076402,Bay Alarm Company,[{'vendorAccountNumber': '2890672'}]
12920432,320986425,Benny Boy Brewing,[]
3250478,10488986,"Billykirk, Inc.",[]
817178,81564508,Bread Lounge,[]
1686,198580673,Breakthru Beverage,"[{'vendorAccountNumber': '700367814'}, {'vendorAccountNumber': '700386606'}, {'vendorAccountNumber': '700388276'}, {'vendorAccountNumber': '700386606'}]"
92499,675960450,Brewyard Beer Company,[]
3255082,824041152,Broom-Broom! Cleaning Services,[]
14485150,1059796656,"C&A Produce Distributors, Inc.",[]
47321,92739237,Casa De Hielo,[]
3709565,3173001,Chefs Warehouse,[{'vendorAccountNumber': '13205443'}]
814389,189979083,Chembro,[]
95860,389429154,City of Los Angeles Treasurer,[{'vendorAccountNumber': '14LT1769'}]
10249090,317761713,Craft Spirits Co.,[]
12926720,3355328,FedEx Office,[]
8955084,92756740,"First Round Draught, Inc.",[{'vendorAccountNumber': 'Wolf & Crane'}]
333957,4273565,Four Star Seafood Inc.,[]
1324583,732950135,Golden West Fire Co.,[]
15623415,772806019,GS Protection Services Inc.,[]
32298,14279385,Guardian Distributor,[{'vendorAccountNumber': '549'}]
333784,19340240,Hand Picked By Mckenna,[]
33216,8538451,"Harbor Distributing, LLC","[{'vendorAccountNumber': 'MI114'}, {'vendorAccountNumber': 'PB853'}]"
11683566,218871392,Highland Park Brewery,[]
1633,4282545,Imperial Dade,[{'vendorAccountNumber': 'PP25927'}]
1374141,9506773,Individual Foodservice,[]
16091712,9891363,Instacart,[]
32319,665938639,"JPPF 360 E. Second, L.P.",[]
1374177,83416397,JT Plumbing,[]
3709579,567044403,Jyok Bev Inc / Jumbo Time Wines,[]
46166,71157495,Katz Cassidy,"[{'vendorAccountNumber': '13941.001'}, {'vendorAccountNumber': '13945.001'}, {'vendorAccountNumber': '13470.001'}, {'vendorAccountNumber': '13469.001'}]"
47397,234968403,Little Tokyo Market Place,[]
16311836,672067897,LKB ART,[]
92491,134145642,Nijiya Market,[]
370906,9560574,Oliver McCrum Wines,[]
104535,451174903,One Stop Refrigeration,[]
104024,13844683,Pacific Edge Wine & Spirits,[]
814111,713239917,Park Hospitality- Internal Transfers,[]
103995,7360630,Park Street Imports,[]
13515487,482025807,"Pro Mechanical Services,Inc.",[]
16312675,20185155,Regal Wine Company,[{'vendorAccountNumber': '674633'}]
1752,3172473,RNDC (Republic National Distributing Co) / Grand Vin Ltd.,"[{'vendorAccountNumber': '10049236-1049057'}, {'vendorAccountNumber': '10049236'}]"
5361,13844649,"Romina Foods, Inc.",[]
334817,298621825,Scout Distribution LLC,[{'vendorAccountNumber': '19739'}]
1696,4771359,Skurnik Wines & Spirits,"[{'vendorAccountNumber': '649296'}, {'vendorAccountNumber': '101316'}]"
2701091,12366080,Smart & Final,[]
1541,456902675,"Southern Glazer's Wine & Spirits, LLC","[{'vendorAccountNumber': '49071'}, {'vendorAccountNumber': '49071'}]"
32316,665938581,Sunset Laguna LLC,[]
385903,114507106,Tavern Service,"[{'vendorAccountNumber': '6590'}, {'vendorAccountNumber': '6590'}]"
3639,13196259,The Playlist Generation,[]
5162570,237751091,"Thermal Comfort Systems, Inc.",[]
369861,54626572,Toast Inc.,[{'vendorAccountNumber': 'Wolf and Crane'}]
3256163,245038430,Tolteca Mfg. Co.,[]
363708,24129483,Trans Gas Propane,[]
10232752,103388435,"Truffle Brothers, Inc.",[]
13903141,1040675123,T&T Plumbing,[]
3252382,531299427,Utsuwa-No-Yakata,[]
3703996,159205988,V A Electric LLC,[]
1310229,15720685,Vesta Foodservice,"[{'vendorAccountNumber': '162732'}, {'vendorAccountNumber': '101212'}, {'vendorAccountNumber': '661333'}]"
103999,3541782,"Wismettac Asian Foods, Inc.",[]
1575,11503966,Worldwide Produce,[{'vendorAccountNumber': 'WOLCRA'}]
